gen	sharpe	win_rate	pnl_pct	trades	status	description	ts
1	0.0000	0.0	0.00	0	ollama_error	timed out	2026-03-20T20:15
2	0.0000	0.0	0.00	0	ollama_error	timed out	2026-03-20T20:18
3	0.0000	0.0	0.00	0	ollama_error	timed out	2026-03-20T20:21
4	0.0000	0.0	0.00	0	ollama_error	timed out	2026-03-20T20:24
5	0.0000	0.0	0.00	0	ollama_error	timed out	2026-03-20T20:28
6	0.0000	0.0	0.00	0	ollama_error	timed out	2026-03-20T20:33
8	0.0000	0.0	0.00	0	new_best		2026-03-20T21:18
8	0.0000	0.0	0.00	0	groq_error	HTTP Error 403: Forbidden	2026-03-20T21:26
9	0.0000	0.0	0.00	0	groq_error	HTTP Error 403: Forbidden	2026-03-20T21:26
10	0.0000	0.0	0.00	0	groq_error	HTTP Error 403: Forbidden	2026-03-20T21:27
11	0.0000	0.0	0.00	0	groq_error	HTTP Error 403: Forbidden	2026-03-20T21:27
12	0.0000	0.0	0.00	0	groq_error	HTTP Error 403: Forbidden	2026-03-20T21:28
13	0.0000	0.0	0.00	0	groq_error	HTTP Error 403: Forbidden	2026-03-20T21:28
14	0.0000	0.0	0.00	0	groq_error	HTTP Error 403: Forbidden	2026-03-20T21:29
15	0.0000	0.0	0.00	0	groq_error	HTTP Error 403: Forbidden	2026-03-20T21:29
16	0.0000	0.0	0.00	0	groq_error	HTTP Error 403: Forbidden	2026-03-20T21:30
17	0.0000	0.0	0.00	0	groq_error	HTTP Error 403: Forbidden	2026-03-20T21:30
18	0.0000	0.0	0.00	0	groq_error	HTTP Error 403: Forbidden	2026-03-20T21:31
19	0.0000	0.0	0.00	0	groq_error	HTTP Error 403: Forbidden	2026-03-20T21:31
20	0.0000	0.0	0.00	0	groq_error	HTTP Error 403: Forbidden	2026-03-20T21:32
21	0.0000	0.0	0.00	0	groq_error	HTTP Error 403: Forbidden	2026-03-20T21:32
22	0.0000	0.0	0.00	0	groq_error	HTTP Error 403: Forbidden	2026-03-20T21:33
23	0.0000	0.0	0.00	0	groq_error	HTTP Error 403: Forbidden	2026-03-20T21:33
24	0.0000	0.0	0.00	0	groq_error	HTTP Error 403: Forbidden	2026-03-20T21:34
25	0.0000	0.0	0.00	0	discarded		2026-03-20T21:37
26	0.0000	0.0	0.00	0	discarded		2026-03-20T21:39
27	0.0000	0.0	0.00	0	discarded		2026-03-20T21:42
28	0.0000	0.0	0.00	0	discarded		2026-03-20T21:45
29	0.0000	0.0	0.00	0	discarded		2026-03-20T21:47
47	-7.4201	44.9	-10.02	365	discarded		2026-03-20T22:07
48	-8.2904	45.0	-10.11	353	discarded		2026-03-20T22:08
49	-7.2561	42.1	-10.07	354	discarded		2026-03-20T22:09
50	-7.4201	44.9	-10.02	365	discarded		2026-03-20T22:11
51	-7.4201	44.9	-10.02	365	discarded		2026-03-20T22:12
52	-8.2252	45.5	-10.13	389	discarded		2026-03-20T22:13
53	-7.9180	44.8	-10.11	362	discarded		2026-03-20T22:14
54	-7.9180	44.8	-10.11	362	discarded		2026-03-20T22:15
55	-7.9180	44.8	-10.11	362	discarded		2026-03-20T22:16
56	-7.4201	44.9	-10.02	365	discarded		2026-03-20T22:17
57	-7.6328	44.3	-10.07	368	discarded		2026-03-20T22:18
58	-7.4201	44.9	-10.02	365	discarded		2026-03-20T22:19
59	-6.1051	42.7	-10.02	386	discarded		2026-03-20T22:20
60	-7.1571	45.2	-9.98	376	discarded		2026-03-20T22:21
61	-7.9180	44.8	-10.11	362	discarded		2026-03-20T22:22
62	-7.4201	44.9	-10.02	365	discarded		2026-03-20T22:23
63	-8.2904	45.0	-10.11	353	discarded		2026-03-20T22:24
64	-7.9180	44.8	-10.11	362	discarded		2026-03-20T22:25
65	-7.8042	45.0	-10.15	362	discarded		2026-03-20T22:26
66	-7.9180	44.8	-10.11	362	discarded		2026-03-20T22:28
67	-10.0156	43.5	-10.01	271	discarded		2026-03-20T22:29
68	-7.8042	45.0	-10.15	362	discarded		2026-03-20T22:30
69	-6.1051	42.7	-10.02	386	discarded		2026-03-20T22:31
70	-7.1314	43.8	-10.02	363	discarded		2026-03-20T22:32
71	-7.4201	44.9	-10.02	365	discarded		2026-03-20T22:33
72	-7.9180	44.8	-10.11	362	discarded		2026-03-20T22:34
73	-7.4201	44.9	-10.02	365	discarded		2026-03-20T22:35
74	-5.1538	43.3	-10.07	439	new_best		2026-03-20T22:36
75	-7.1571	45.2	-9.98	376	discarded		2026-03-20T22:37
76	-7.1571	45.2	-9.98	376	discarded		2026-03-20T22:38
77	-7.1571	45.2	-9.98	376	discarded		2026-03-20T22:39
78	-7.5903	44.0	-10.12	348	discarded		2026-03-20T22:40
79	-7.6328	44.3	-10.07	368	discarded		2026-03-20T22:41
80	-8.2904	45.0	-10.11	353	discarded		2026-03-20T22:42
81	-7.8042	45.0	-10.15	362	discarded		2026-03-20T22:43
82	-7.1571	45.2	-9.98	376	discarded		2026-03-20T22:45
83	-7.8042	45.0	-10.15	362	discarded		2026-03-20T22:46
84	-7.1571	45.2	-9.98	376	discarded		2026-03-20T22:47
85	-6.2049	41.7	-10.05	391	discarded		2026-03-20T22:48
86	-8.2904	45.0	-10.11	353	discarded		2026-03-20T22:49
87	-7.5172	45.2	-10.03	392	discarded		2026-03-20T22:50
88	-7.6328	44.3	-10.07	368	discarded		2026-03-20T22:51
89	-7.6328	44.3	-10.07	368	discarded		2026-03-20T22:52
90	-8.2904	45.0	-10.11	353	discarded		2026-03-20T22:53
91	-7.2561	42.1	-10.07	354	discarded		2026-03-20T22:54
92	-7.6328	44.3	-10.07	368	discarded		2026-03-20T22:55
93	-7.7773	45.4	-10.01	388	discarded		2026-03-20T22:56
94	-11.4181	39.7	-9.99	287	discarded		2026-03-20T22:57
95	-9.3334	43.3	-10.05	300	discarded		2026-03-20T22:58
96	-7.8042	45.0	-10.15	362	discarded		2026-03-20T22:59
97	-7.6328	44.3	-10.07	368	discarded		2026-03-20T23:00
98	-8.2904	45.0	-10.11	353	discarded		2026-03-20T23:02
99	-7.1571	45.2	-9.98	376	discarded		2026-03-20T23:03
100	-8.2904	45.0	-10.11	353	discarded		2026-03-20T23:04
101	-7.8042	45.0	-10.15	362	discarded		2026-03-20T23:05
102	-5.3416	42.9	-10.01	431	discarded		2026-03-20T23:06
103	-7.6328	44.3	-10.07	368	discarded		2026-03-20T23:07
104	-5.1538	43.3	-10.07	439	discarded		2026-03-20T23:08
105	-7.2530	42.7	-10.03	361	discarded		2026-03-20T23:09
106	-6.1051	42.7	-10.02	386	discarded		2026-03-20T23:10
107	-8.2904	45.0	-10.11	353	discarded		2026-03-20T23:11
108	-7.1571	45.2	-9.98	376	discarded		2026-03-20T23:12
