gen	sharpe	win_rate	pnl_pct	trades	status	description	ts
1	0.0000	0.0	0.00	0	ollama_error	timed out	2026-03-20T20:15
2	0.0000	0.0	0.00	0	ollama_error	timed out	2026-03-20T20:18
3	0.0000	0.0	0.00	0	ollama_error	timed out	2026-03-20T20:21
4	0.0000	0.0	0.00	0	ollama_error	timed out	2026-03-20T20:24
5	0.0000	0.0	0.00	0	ollama_error	timed out	2026-03-20T20:28
6	0.0000	0.0	0.00	0	ollama_error	timed out	2026-03-20T20:33
7	0.0000	0.0	0.00	0	groq_error	HTTP Error 403: Forbidden	2026-03-20T21:24
8	0.0000	0.0	0.00	0	groq_error	HTTP Error 403: Forbidden	2026-03-20T21:25
9	0.0000	0.0	0.00	0	groq_error	HTTP Error 403: Forbidden	2026-03-20T21:25
10	0.0000	0.0	0.00	0	groq_error	HTTP Error 403: Forbidden	2026-03-20T21:26
11	0.0000	0.0	0.00	0	groq_error	HTTP Error 403: Forbidden	2026-03-20T21:26
12	0.0000	0.0	0.00	0	groq_error	HTTP Error 403: Forbidden	2026-03-20T21:27
13	0.0000	0.0	0.00	0	groq_error	HTTP Error 403: Forbidden	2026-03-20T21:27
14	0.0000	0.0	0.00	0	groq_error	HTTP Error 403: Forbidden	2026-03-20T21:28
15	0.0000	0.0	0.00	0	groq_error	HTTP Error 403: Forbidden	2026-03-20T21:28
16	0.0000	0.0	0.00	0	groq_error	HTTP Error 403: Forbidden	2026-03-20T21:29
17	0.0000	0.0	0.00	0	groq_error	HTTP Error 403: Forbidden	2026-03-20T21:29
18	0.0000	0.0	0.00	0	groq_error	HTTP Error 403: Forbidden	2026-03-20T21:30
19	0.0000	0.0	0.00	0	groq_error	HTTP Error 403: Forbidden	2026-03-20T21:30
20	0.0000	0.0	0.00	0	groq_error	HTTP Error 403: Forbidden	2026-03-20T21:31
21	0.0000	0.0	0.00	0	groq_error	HTTP Error 403: Forbidden	2026-03-20T21:31
22	0.0000	0.0	0.00	0	groq_error	HTTP Error 403: Forbidden	2026-03-20T21:32
23	0.0000	0.0	0.00	0	groq_error	HTTP Error 403: Forbidden	2026-03-20T21:32
24	0.0000	0.0	0.00	0	groq_error	HTTP Error 403: Forbidden	2026-03-20T21:33
25	0.0000	0.0	0.00	0	groq_error	HTTP Error 403: Forbidden	2026-03-20T21:33
26	0.0000	0.0	0.00	0	groq_error	HTTP Error 403: Forbidden	2026-03-20T21:34
27	-0.8354	43.4	-15.75	143	new_best		2026-03-20T21:34
28	-0.5681	41.4	-10.79	145	new_best		2026-03-20T21:35
29	-0.5333	42.2	-9.91	116	new_best		2026-03-20T21:36
30	-0.5348	43.1	-9.65	116	discarded		2026-03-20T21:37
31	-0.0850	42.3	-2.32	149	new_best		2026-03-20T21:38
32	-0.1546	38.5	-3.36	143	discarded		2026-03-20T21:39
33	-0.6794	42.6	-11.82	136	discarded		2026-03-20T21:40
34	-0.0850	42.3	-2.32	149	discarded		2026-03-20T21:41
35	-0.5681	41.4	-10.79	145	discarded		2026-03-20T21:42
36	-0.5258	38.9	-8.76	108	discarded		2026-03-20T21:43
37	0.0357	41.9	-0.23	160	new_best		2026-03-20T21:44
38	-0.0850	42.3	-2.32	149	discarded		2026-03-20T21:45
39	-0.5055	41.6	-9.87	149	discarded		2026-03-20T21:46
40	-1.8772	33.8	-18.02	80	discarded		2026-03-20T21:48
58	-0.2355	39.9	-5.59	173	discarded		2026-03-20T22:07
59	-0.4056	38.2	-5.05	68	discarded		2026-03-20T22:08
60	-0.7111	36.4	-9.54	88	discarded		2026-03-20T22:09
61	-0.6131	43.0	-11.96	142	discarded		2026-03-20T22:10
62	-0.0849	42.3	-2.96	149	discarded		2026-03-20T22:11
63	-0.0850	42.3	-2.32	149	discarded		2026-03-20T22:12
64	-0.0850	42.3	-2.32	149	discarded		2026-03-20T22:13
65	-0.0850	42.3	-2.32	149	discarded		2026-03-20T22:14
66	-0.5486	37.1	-10.03	159	discarded		2026-03-20T22:15
67	-0.0850	42.3	-2.32	149	discarded		2026-03-20T22:16
68	0.0024	42.3	-0.81	149	discarded		2026-03-20T22:17
69	-0.6450	41.4	-11.77	145	discarded		2026-03-20T22:18
70	-0.0850	42.3	-2.32	149	discarded		2026-03-20T22:19
71	-0.0850	42.3	-2.32	149	discarded		2026-03-20T22:20
72	-0.5846	36.7	-10.30	158	discarded		2026-03-20T22:21
73	-0.0850	42.3	-2.32	149	discarded		2026-03-20T22:23
74	-0.5846	36.7	-10.30	158	discarded		2026-03-20T22:24
75	-0.8550	36.0	-14.44	150	discarded		2026-03-20T22:25
76	-0.5681	41.4	-10.79	145	discarded		2026-03-20T22:26
77	-0.4942	41.5	-11.68	147	discarded		2026-03-20T22:27
78	-0.5418	36.4	-9.86	162	discarded		2026-03-20T22:28
79	-0.0850	42.3	-2.32	149	discarded		2026-03-20T22:29
80	-0.0850	42.3	-2.32	149	discarded		2026-03-20T22:30
81	-0.3923	40.6	-6.80	128	discarded		2026-03-20T22:31
82	-0.5737	41.2	-10.74	114	discarded		2026-03-20T22:32
83	-0.0850	42.3	-2.32	149	discarded		2026-03-20T22:33
84	0.0024	42.3	-0.81	149	discarded		2026-03-20T22:34
85	-0.5846	36.7	-9.05	158	discarded		2026-03-20T22:35
86	-0.0850	42.3	-2.32	149	discarded		2026-03-20T22:36
87	-1.8169	29.9	-18.53	97	discarded		2026-03-20T22:37
88	-0.0808	42.1	-2.31	152	discarded		2026-03-20T22:38
89	-0.7575	38.9	-11.33	108	discarded		2026-03-20T22:39
90	-0.5218	36.4	-8.96	129	discarded		2026-03-20T22:40
91	0.0024	42.3	-0.81	149	discarded		2026-03-20T22:42
92	-1.4586	33.0	-18.17	106	discarded		2026-03-20T22:43
93	-0.7575	38.9	-11.33	108	discarded		2026-03-20T22:44
94	-0.0850	42.3	-2.32	149	discarded		2026-03-20T22:45
95	-0.5622	41.5	-8.50	147	discarded		2026-03-20T22:46
96	-0.0850	42.3	-2.32	149	discarded		2026-03-20T22:47
97	-0.3263	40.7	-6.37	177	discarded		2026-03-20T22:48
98	-0.0850	42.3	-2.32	149	discarded		2026-03-20T22:49
99	-0.5847	36.7	-8.22	158	discarded		2026-03-20T22:50
100	-0.4197	39.8	-6.46	88	discarded		2026-03-20T22:51
101	0.0024	42.3	-0.81	149	discarded		2026-03-20T22:52
102	-0.0850	42.3	-2.32	149	discarded		2026-03-20T22:53
103	-0.6714	37.7	-10.94	122	discarded		2026-03-20T22:54
104	0.0024	42.3	-0.81	149	discarded		2026-03-20T22:55
105	-1.0141	31.2	-8.26	32	discarded		2026-03-20T22:56
106	-0.5683	37.5	-6.70	64	discarded		2026-03-20T22:58
107	-0.0850	42.3	-2.32	149	discarded		2026-03-20T22:59
108	-0.0850	42.3	-2.32	149	discarded		2026-03-20T23:00
109	-0.5523	44.9	-8.63	98	discarded		2026-03-20T23:01
110	-1.3854	32.8	-18.46	116	discarded		2026-03-20T23:02
111	0.0024	42.3	-0.81	149	discarded		2026-03-20T23:03
112	-0.0850	42.3	-2.32	149	discarded		2026-03-20T23:04
113	-0.6450	41.4	-11.77	145	discarded		2026-03-20T23:05
114	0.0024	42.3	-0.81	149	discarded		2026-03-20T23:06
115	-0.0850	42.3	-2.32	149	discarded		2026-03-20T23:07
116	-0.0850	42.3	-2.32	149	discarded		2026-03-20T23:08
117	-0.0850	42.3	-2.32	149	discarded		2026-03-20T23:09
118	-0.2304	44.7	-5.18	123	discarded		2026-03-20T23:10
119	-0.6217	37.5	-10.95	144	discarded		2026-03-20T23:11
120	-0.0911	42.3	-2.42	149	discarded		2026-03-20T23:12
